Category,Customer,Quantity,Delivery Lead Time,Segment
Others,Store_Zeta,418,32,Lost
Sevai,Store_Zeta,421,11,Loyal
Others,Store_Epsilon,376,21,Lost
Hakka,Store_Gamma,280,26,Potential
Hakka,Store_Epsilon,141,25,Potential
Others,Store_Gamma,102,22,Loyal
Sevai,Store_Beta,388,27,Potential
Hakka,Store_Theta,82,13,Lost
Cookies,Store_Gamma,420,33,Champion
Others,Store_Beta,419,34,At Risk
Cookies,Store_Beta,412,41,Loyal
Others,Store_Eta,257,35,Loyal
Noodles,Store_Delta,357,1,Champion
Noodles,Store_Beta,282,21,Champion
Noodles,Store_Gamma,52,6,Champion
Hakka,Store_Delta,386,28,Loyal
Cookies,Store_Delta,50,17,At Risk
Cookies,Store_Beta,179,5,Loyal
Cookies,Store_Epsilon,443,31,Loyal
Sevai,Store_Epsilon,221,5,Loyal
Cookies,Store_Zeta,177,38,Champion
Sevai,Store_Delta,48,3,Lost
Noodles,Store_Beta,378,23,Potential
Noodles,Store_Eta,254,37,Potential
Hakka,Store_Epsilon,160,37,Loyal
Others,Store_Eta,120,10,Champion
Noodles,Store_Beta,489,10,Champion
Others,Store_Beta,445,19,Champion
Others,Store_Theta,56,17,Loyal
Hakka,Store_Delta,72,21,Potential
Pasta,Store_Theta,234,14,Champion
Pasta,Store_Eta,375,9,Potential
Bites,Store_Theta,78,1,Champion
Hakka,Store_Zeta,308,13,Loyal
Bites,Store_Delta,441,4,Champion
Bites,Store_Alpha,299,1,Loyal
Pasta,Store_Theta,305,40,Lost
Hakka,Store_Eta,212,32,Champion
Pasta,Store_Epsilon,70,34,Loyal
Bites,Store_Epsilon,443,28,At Risk
Hakka,Store_Epsilon,460,31,Champion
Bites,Store_Gamma,327,8,Loyal
Cookies,Store_Beta,323,39,Champion
Others,Store_Delta,170,26,Champion
Hakka,Store_Epsilon,340,34,Potential
Hakka,Store_Alpha,25,3,Potential
Others,Store_Epsilon,347,12,At Risk
Bites,Store_Zeta,103,1,Champion
Cookies,Store_Beta,313,44,Champion
Sevai,Store_Eta,147,5,Potential
Others,Store_Beta,347,30,Loyal
Pasta,Store_Theta,47,30,Champion
Bites,Store_Eta,136,17,Champion
Others,Store_Eta,284,23,Loyal
Others,Store_Theta,173,15,Champion
Hakka,Store_Delta,452,37,Lost
Pasta,Store_Theta,328,21,Lost
Pasta,Store_Gamma,86,14,Loyal
Pasta,Store_Eta,183,2,Loyal
Others,Store_Eta,396,11,Champion
Sevai,Store_Theta,467,39,Lost
Noodles,Store_Delta,367,38,Loyal
Bites,Store_Epsilon,330,34,Potential
Noodles,Store_Zeta,385,38,Loyal
Others,Store_Alpha,100,34,Champion
Noodles,Store_Delta,247,18,Champion
Others,Store_Gamma,273,30,Potential
Noodles,Store_Delta,188,15,Loyal
Pasta,Store_Beta,499,27,Champion
Cookies,Store_Epsilon,218,34,Loyal
Pasta,Store_Epsilon,82,38,Potential
Pasta,Store_Eta,399,33,Lost
Hakka,Store_Epsilon,116,24,Loyal
Hakka,Store_Epsilon,354,15,Lost
Noodles,Store_Theta,304,30,Champion
Others,Store_Epsilon,378,42,Loyal
Pasta,Store_Epsilon,453,17,Champion
Noodles,Store_Alpha,293,5,Loyal
Hakka,Store_Gamma,362,29,Potential
Cookies,Store_Eta,191,4,Potential
Bites,Store_Theta,46,10,Loyal
Noodles,Store_Epsilon,146,17,Champion
Cookies,Store_Eta,347,10,Potential
Bites,Store_Gamma,65,17,Lost
Sevai,Store_Theta,196,20,Champion
Noodles,Store_Zeta,350,24,At Risk
Noodles,Store_Epsilon,267,5,Champion
Sevai,Store_Eta,454,34,Champion
Sevai,Store_Delta,67,6,Lost
Noodles,Store_Theta,372,2,Champion
Sevai,Store_Theta,132,13,Champion
Pasta,Store_Eta,197,43,Champion
Bites,Store_Epsilon,239,43,Lost
Bites,Store_Beta,177,11,Lost
Bites,Store_Alpha,429,23,Champion
Pasta,Store_Delta,123,16,Champion
Others,Store_Delta,261,31,Champion
Sevai,Store_Beta,116,11,Champion
Cookies,Store_Epsilon,46,16,Loyal
Sevai,Store_Theta,344,8,Potential
Noodles,Store_Theta,101,4,Champion
Hakka,Store_Alpha,27,40,Champion
Bites,Store_Delta,363,4,Loyal
Sevai,Store_Alpha,72,25,Loyal
Cookies,Store_Delta,159,3,Lost
Noodles,Store_Epsilon,148,32,Champion
Pasta,Store_Zeta,195,3,Loyal
Others,Store_Delta,194,27,Champion
Pasta,Store_Zeta,214,29,Champion
Cookies,Store_Delta,269,32,Loyal
Noodles,Store_Theta,223,19,Champion
Bites,Store_Gamma,265,21,Champion
Sevai,Store_Epsilon,144,5,Champion
Noodles,Store_Beta,70,18,Champion
Others,Store_Zeta,372,28,Champion
Pasta,Store_Beta,319,42,At Risk
Others,Store_Epsilon,97,22,Champion
Others,Store_Eta,333,21,Champion
Cookies,Store_Beta,485,6,Loyal
Cookies,Store_Epsilon,216,1,Champion
Sevai,Store_Theta,138,5,Potential
Cookies,Store_Beta,320,41,Loyal
Cookies,Store_Zeta,12,12,Potential
Noodles,Store_Gamma,471,26,Loyal
Bites,Store_Beta,431,34,Champion
Sevai,Store_Zeta,251,14,Potential
Noodles,Store_Delta,130,26,Champion
Bites,Store_Epsilon,394,27,Champion
Others,Store_Alpha,111,9,Loyal
Noodles,Store_Eta,47,26,Potential
Hakka,Store_Theta,350,22,Loyal
Noodles,Store_Alpha,422,30,Lost
Cookies,Store_Theta,142,43,Loyal
Bites,Store_Epsilon,211,17,Lost
Sevai,Store_Theta,357,26,Champion
Sevai,Store_Gamma,30,36,Potential
Bites,Store_Beta,251,1,Champion
Cookies,Store_Gamma,464,8,Lost
Pasta,Store_Alpha,460,35,Loyal
Noodles,Store_Eta,118,15,Loyal
Cookies,Store_Zeta,312,22,Champion
Hakka,Store_Eta,93,14,Loyal
Others,Store_Epsilon,92,26,Loyal
Bites,Store_Epsilon,300,28,Lost
Noodles,Store_Gamma,461,23,At Risk
Sevai,Store_Zeta,78,14,Champion
Others,Store_Gamma,138,24,Lost
Pasta,Store_Beta,205,2,Champion
Hakka,Store_Delta,149,26,Champion
Sevai,Store_Zeta,453,14,Potential
Bites,Store_Delta,292,7,Potential
Noodles,Store_Eta,321,3,At Risk
Bites,Store_Beta,243,23,Champion
Others,Store_Theta,32,43,Potential
Noodles,Store_Theta,162,18,Loyal
Cookies,Store_Delta,286,38,Loyal
Pasta,Store_Alpha,70,35,Loyal
Cookies,Store_Eta,328,15,At Risk
Cookies,Store_Delta,387,25,Potential
Bites,Store_Beta,61,37,Potential
Others,Store_Delta,353,28,Champion
Pasta,Store_Epsilon,162,10,Champion
Noodles,Store_Gamma,246,39,Loyal
Noodles,Store_Alpha,320,17,Champion
Hakka,Store_Epsilon,311,39,Champion
Sevai,Store_Epsilon,41,22,Potential
Hakka,Store_Beta,64,26,Champion
Hakka,Store_Gamma,361,44,Loyal
Noodles,Store_Gamma,398,25,Loyal
Bites,Store_Zeta,45,17,Loyal
Cookies,Store_Eta,119,13,Champion
Others,Store_Alpha,499,20,Lost
Cookies,Store_Eta,186,25,Champion
Cookies,Store_Beta,371,4,Potential
Pasta,Store_Alpha,323,10,Champion
Noodles,Store_Zeta,304,3,Champion
Others,Store_Delta,345,41,Loyal
Bites,Store_Epsilon,106,18,Lost
Pasta,Store_Alpha,378,36,Potential
Sevai,Store_Eta,222,22,Loyal
Bites,Store_Epsilon,326,34,Champion
Hakka,Store_Beta,146,8,Champion
Bites,Store_Eta,15,40,Champion
Bites,Store_Delta,118,44,Lost
Cookies,Store_Beta,44,19,Champion
Bites,Store_Theta,48,42,Champion
Hakka,Store_Delta,159,41,Loyal
Hakka,Store_Delta,434,37,Loyal
Noodles,Store_Epsilon,127,6,Loyal
Bites,Store_Beta,270,26,Loyal
Cookies,Store_Beta,435,34,Potential
Bites,Store_Alpha,96,6,Potential
Sevai,Store_Eta,474,37,Loyal
Sevai,Store_Theta,85,33,Lost
Cookies,Store_Beta,480,22,Loyal
Noodles,Store_Alpha,473,21,Champion
Noodles,Store_Theta,460,6,Loyal
Hakka,Store_Gamma,423,6,Champion
Hakka,Store_Gamma,322,4,Champion
Pasta,Store_Theta,392,30,Champion
Cookies,Store_Gamma,223,11,Champion
Bites,Store_Zeta,466,30,At Risk
Others,Store_Beta,294,31,Loyal
Cookies,Store_Zeta,248,24,Loyal
Pasta,Store_Eta,174,9,Loyal
Hakka,Store_Beta,96,3,Champion
Cookies,Store_Alpha,150,31,Loyal
Cookies,Store_Zeta,169,40,Lost
Hakka,Store_Zeta,55,37,Champion
Pasta,Store_Eta,381,36,Champion
Hakka,Store_Zeta,121,24,Champion
Noodles,Store_Delta,416,31,Loyal
Bites,Store_Alpha,54,6,Loyal
Hakka,Store_Gamma,410,2,Champion
Pasta,Store_Alpha,256,20,Champion
Sevai,Store_Delta,113,28,Loyal
Noodles,Store_Eta,94,11,Loyal
Sevai,Store_Eta,459,4,At Risk
Others,Store_Beta,494,15,Loyal
Hakka,Store_Alpha,143,6,Potential
Noodles,Store_Theta,117,30,Potential
Bites,Store_Theta,27,38,Champion
Hakka,Store_Eta,103,2,Loyal
Bites,Store_Zeta,159,15,Loyal
Cookies,Store_Eta,255,11,Potential
Sevai,Store_Eta,298,8,Champion
Noodles,Store_Eta,423,26,Potential
Bites,Store_Eta,218,44,Lost
Pasta,Store_Theta,135,5,Potential
Bites,Store_Theta,244,6,Loyal
Pasta,Store_Gamma,425,26,Loyal
Hakka,Store_Gamma,435,4,Lost
Noodles,Store_Beta,471,19,Loyal
Bites,Store_Eta,131,20,Loyal
Others,Store_Theta,147,33,Potential
Bites,Store_Alpha,124,20,Champion
Others,Store_Delta,429,12,Lost
Noodles,Store_Beta,171,1,Potential
Bites,Store_Theta,210,26,Loyal
Pasta,Store_Alpha,243,14,Lost
Bites,Store_Eta,37,38,Champion
Sevai,Store_Epsilon,20,37,Champion
Hakka,Store_Eta,215,11,Champion
Cookies,Store_Gamma,176,36,Loyal
Pasta,Store_Delta,256,13,Champion
Sevai,Store_Theta,56,43,Loyal
Others,Store_Theta,255,3,Champion
Hakka,Store_Zeta,136,33,Champion
Noodles,Store_Delta,156,6,Potential
Pasta,Store_Zeta,127,10,Potential
Cookies,Store_Delta,408,5,Loyal
Hakka,Store_Gamma,391,23,Champion
Others,Store_Zeta,421,10,Champion
Cookies,Store_Alpha,161,44,Loyal
Noodles,Store_Zeta,81,2,Potential
Noodles,Store_Beta,372,13,Potential
Others,Store_Alpha,146,40,Loyal
Pasta,Store_Beta,184,2,Champion
Others,Store_Eta,298,20,Loyal
Bites,Store_Delta,455,1,Champion
Noodles,Store_Alpha,490,37,Loyal
Hakka,Store_Delta,28,9,At Risk
Bites,Store_Eta,204,17,Potential
Sevai,Store_Epsilon,339,9,Champion
Cookies,Store_Theta,433,11,Champion
Bites,Store_Delta,184,15,Lost
Cookies,Store_Eta,499,24,Champion
Others,Store_Delta,458,38,Loyal
Bites,Store_Eta,422,35,Champion
Others,Store_Beta,443,30,Lost
Sevai,Store_Eta,363,31,Champion
Noodles,Store_Zeta,150,5,Potential
Sevai,Store_Epsilon,255,44,Lost
Noodles,Store_Delta,394,14,Lost
Others,Store_Eta,427,11,Lost
Noodles,Store_Eta,102,9,Loyal
Cookies,Store_Delta,441,34,Champion
Hakka,Store_Theta,248,12,Potential
Sevai,Store_Epsilon,214,35,Potential
Bites,Store_Epsilon,57,35,Champion
Sevai,Store_Eta,442,1,Loyal
Cookies,Store_Alpha,254,40,Potential
Noodles,Store_Beta,329,22,Potential
Cookies,Store_Epsilon,326,29,Loyal
Pasta,Store_Epsilon,422,8,Champion
Pasta,Store_Gamma,304,11,Loyal
Bites,Store_Zeta,137,41,Champion
Cookies,Store_Epsilon,353,37,Loyal
Others,Store_Beta,291,14,Champion
Bites,Store_Zeta,26,30,Champion
Others,Store_Zeta,80,35,Champion
Bites,Store_Delta,278,21,Potential
Pasta,Store_Delta,334,37,Lost
Bites,Store_Delta,291,5,Loyal
Pasta,Store_Delta,314,19,Loyal
Noodles,Store_Gamma,460,14,Lost
Others,Store_Epsilon,16,26,Loyal
Cookies,Store_Delta,323,4,At Risk
Bites,Store_Eta,314,25,Lost
Pasta,Store_Alpha,112,42,Champion
Sevai,Store_Delta,318,25,At Risk
Others,Store_Epsilon,202,18,Loyal
Bites,Store_Delta,250,40,Champion
Hakka,Store_Gamma,71,8,Champion
Noodles,Store_Beta,26,39,Champion
Noodles,Store_Beta,180,40,Lost
Sevai,Store_Epsilon,34,14,Loyal
Pasta,Store_Eta,260,32,Champion
Bites,Store_Beta,262,38,Champion
Others,Store_Theta,396,33,Potential
Pasta,Store_Beta,216,23,Champion
Noodles,Store_Alpha,38,15,Champion
Pasta,Store_Epsilon,126,33,Lost
Noodles,Store_Eta,425,25,Loyal
Pasta,Store_Epsilon,291,17,Potential
Sevai,Store_Beta,389,33,Champion
Cookies,Store_Beta,153,2,Potential
Sevai,Store_Beta,34,14,Potential
Sevai,Store_Zeta,319,40,Loyal
Cookies,Store_Gamma,165,40,Champion
