Category,Quantity,Delivery Lead Time,Segment,Carrier
Sevai,453,14,Potential,kerry
Bites,292,7,Potential,akr express
Noodles,321,3,At Risk,akr express
Bites,243,23,Champion,self
Others,32,43,Potential,kerry
Noodles,162,18,Loyal,kerry
Cookies,286,38,Loyal,self
Pasta,70,35,Loyal,akr express
Cookies,328,15,At Risk,courier
Cookies,387,25,Potential,DTDC
Bites,61,37,Potential,DTDC
Others,353,28,Champion,self
Pasta,162,10,Champion,kerry
Noodles,246,39,Loyal,vrl
Noodles,320,17,Champion,self
Hakka,311,39,Champion,courier
Sevai,41,22,Potential,self
Hakka,64,26,Champion,safe express
Hakka,361,44,Loyal,VRL
Noodles,398,25,Loyal,kerry
Bites,45,17,Loyal,SELF
Cookies,119,13,Champion,SELF
Others,499,20,Lost,kerry
Cookies,186,25,Champion,courier
Cookies,371,4,Potential,safe express
Pasta,323,10,Champion,safe express
Noodles,304,3,Champion,akr express
Others,345,41,Loyal,VRL
Bites,106,18,Lost,DTDC
Pasta,378,36,Potential,dtdc
Sevai,222,22,Loyal,courier
Bites,326,34,Champion,dtdc
Hakka,146,8,Champion,dtdc
Bites,15,40,Champion,kerry
Bites,118,44,Lost,SELF
Cookies,44,19,Champion,SELF
Bites,48,42,Champion,DTDC
Hakka,159,41,Loyal,kerry
Hakka,434,37,Loyal,dtdc
Noodles,127,6,Loyal,vrl
Bites,270,26,Loyal,SELF
Cookies,435,34,Potential,courier
Bites,96,6,Potential,courier
Sevai,474,37,Loyal,akr express
Sevai,85,33,Lost,self
Cookies,480,22,Loyal,vrl
Noodles,473,21,Champion,SELF
Noodles,460,6,Loyal,safe express
Hakka,423,6,Champion,SELF
Hakka,322,4,Champion,akr express
Pasta,392,30,Champion,courier
Cookies,223,11,Champion,dtdc
Bites,466,30,At Risk,safe express
Others,294,31,Loyal,kerry
Cookies,248,24,Loyal,VRL
Pasta,174,9,Loyal,dtdc
Hakka,96,3,Champion,VRL
Cookies,150,31,Loyal,vrl
Cookies,169,40,Lost,self
Hakka,55,37,Champion,safe express
Pasta,381,36,Champion,DTDC
Hakka,121,24,Champion,safe express
Noodles,416,31,Loyal,SELF
Bites,54,6,Loyal,courier
Hakka,410,2,Champion,SELF
Pasta,256,20,Champion,SELF
Sevai,113,28,Loyal,vrl
Noodles,94,11,Loyal,dtdc
Sevai,459,4,At Risk,DTDC
Others,494,15,Loyal,DTDC
Hakka,143,6,Potential,SELF
Noodles,117,30,Potential,VRL
Bites,27,38,Champion,vrl
Hakka,103,2,Loyal,SELF
Bites,159,15,Loyal,self
Cookies,255,11,Potential,courier
Sevai,298,8,Champion,dtdc
Noodles,423,26,Potential,kerry
Bites,218,44,Lost,self
Pasta,135,5,Potential,VRL
Bites,244,6,Loyal,safe express
Pasta,425,26,Loyal,safe express
Hakka,435,4,Lost,self
Noodles,471,19,Loyal,SELF
Bites,131,20,Loyal,kerry
Others,147,33,Potential,akr express
Bites,124,20,Champion,akr express
Others,429,12,Lost,VRL
Noodles,171,1,Potential,SELF
Bites,210,26,Loyal,DTDC
Pasta,243,14,Lost,DTDC
Bites,37,38,Champion,dtdc
Sevai,20,37,Champion,kerry
Hakka,215,11,Champion,kerry
Cookies,176,36,Loyal,safe express
Pasta,256,13,Champion,vrl
Sevai,56,43,Loyal,VRL
Others,255,3,Champion,akr express
Hakka,136,33,Champion,VRL
Noodles,156,6,Potential,DTDC
Pasta,127,10,Potential,DTDC
Cookies,408,5,Loyal,self
Hakka,391,23,Champion,dtdc
Others,421,10,Champion,kerry
Cookies,161,44,Loyal,courier
Noodles,81,2,Potential,VRL
Noodles,372,13,Potential,DTDC
Others,146,40,Loyal,vrl
Pasta,184,2,Champion,safe express
Others,298,20,Loyal,akr express
Bites,455,1,Champion,dtdc
Noodles,490,37,Loyal,vrl
Hakka,28,9,At Risk,dtdc
Bites,204,17,Potential,self
Sevai,339,9,Champion,courier
Cookies,433,11,Champion,DTDC
Bites,184,15,Lost,safe express
Cookies,499,24,Champion,vrl
Others,458,38,Loyal,dtdc
Bites,422,35,Champion,kerry
Others,443,30,Lost,self
Sevai,363,31,Champion,kerry
Noodles,150,5,Potential,safe express
Sevai,255,44,Lost,vrl
Noodles,394,14,Lost,self
Others,427,11,Lost,vrl
Noodles,102,9,Loyal,DTDC
Cookies,441,34,Champion,SELF
Hakka,248,12,Potential,self
Sevai,214,35,Potential,kerry
Bites,57,35,Champion,safe express
Sevai,442,1,Loyal,courier
Cookies,254,40,Potential,DTDC
Noodles,329,22,Potential,SELF
Cookies,326,29,Loyal,courier
Pasta,422,8,Champion,akr express
Pasta,304,11,Loyal,DTDC
Bites,137,41,Champion,safe express
Cookies,353,37,Loyal,dtdc
Others,291,14,Champion,self
Bites,26,30,Champion,vrl
Others,80,35,Champion,safe express
Bites,278,21,Potential,self
Pasta,334,37,Lost,courier
Bites,291,5,Loyal,vrl
Pasta,314,19,Loyal,VRL
Noodles,460,14,Lost,kerry
Others,16,26,Loyal,akr express
Cookies,323,4,At Risk,DTDC
Bites,314,25,Lost,safe express
Pasta,112,42,Champion,akr express
Sevai,318,25,At Risk,dtdc
Others,202,18,Loyal,self
Bites,250,40,Champion,self
Hakka,71,8,Champion,safe express
Noodles,26,39,Champion,SELF
Noodles,180,40,Lost,SELF
Sevai,34,14,Loyal,VRL
Pasta,260,32,Champion,kerry
Bites,262,38,Champion,vrl
Others,396,33,Potential,dtdc
Pasta,216,23,Champion,akr express
Noodles,38,15,Champion,SELF
Pasta,126,33,Lost,VRL
Noodles,425,25,Loyal,VRL
Pasta,291,17,Potential,safe express
Sevai,389,33,Champion,dtdc
Cookies,153,2,Potential,courier
Sevai,34,14,Potential,vrl
Sevai,319,40,Loyal,kerry
Cookies,165,40,Champion,DTDC
